"country","lakeno","year","mesh","lakearea","waterdepth","tn","tp","elev","lat","long","source","sampling_sites","replicates_per_site","sampler_area","ClimateZ","climate","climate2","m","s_area","s_area_LCI","s_area_UCI","Sn_LCI","Sn","Sn_UCI","Spie_LCI","Spie","Spie_UCI","abundance","s"
"Nigeria","Aiba_res",2004,500,0.37,1,3.4,0.6,238,7.64,4.2,"Atobatele",16,3,300,"Aw","warm","Tropical",2.952,1.64454014757733,1.4861375311809,1.80294276397376,2.86514612611038,5.49593495934957,8.12672379258875,1.47654831018943,1.71162232162645,1.94669633306347,123,5
"India","Hansadanga",2007,450,0.42,2.1,1.1,0.06,11,23.4,88.55,"Debajyoti",4,2,225,"Aw","warm","Tropical",19.90776,3.38089766266582,3.13130038111421,3.63049494421743,5,5,5,1.41105697872541,1.48338336944155,1.55570976015769,829.49,5
"India","Kalinga",2007,450,0.33,2.1,0.77,0.039,11,23.5,88.5,"Debajyoti",4,2,225,"Aw","warm","Tropical",5.13576,3.56768307581703,3.45617014635417,3.6791960052799,6.72281923513006,7,7.27718076486994,4.94986242297878,5.45802501498867,5.96618760699857,213.99,7
"India","Paglachandi",2007,450,0.36,2.1,0.57,0.002,21,24.22,88.29,"Debajyoti",4,2,225,"Aw","warm","Tropical",6.31656,3.93257645933374,3.83717730646988,4.02797561219759,6.27417037931301,7,7.72582962068699,5.13819497746597,5.38312717158509,5.6280593657042,263.19,7
"Denmark","DK_1003",2005,212,0.08,0.44,0.88,0.02,15,57.0619,8.6209,"erik",8,1,22,"Cfb","cool","Temperate",224.712,13.9081380343912,13.867907931674,13.9483681371084,13.9999999997542,14.0000000000177,14.0000000002811,6.22210484481965,6.35427043509348,6.48643602536731,9363,14
"Denmark","DK_10084",2005,212,0.07,3.14,1.05,0.08,15,59.721,10.2047,"erik",8,1,22,"Dfb","cool","Continental",45.24,5.83195001914992,5.64739329494649,6.01650674335335,7,7,7,1.77832779103335,1.86387274129777,1.94941769156219,1885,7
"Denmark","DK_1009",2004,212,3.48,3.61,0.81,0.04,15,56.818,8.7313,"erik",12,1,22,"Cfb","cool","Temperate",72.528,7.08603681674403,6.88499937472632,7.28707425876174,8.0000000000008,8.00000000000144,8.00000000000209,5.13023429079149,5.22869242383059,5.32715055686968,3022,8
"Denmark","DK_1009",2005,212,3.48,3.61,0.77,0.03,15,56.818,8.7313,"erik",12,1,22,"Cfb","cool","Temperate",120.6,9.50167857709158,9.38033373502358,9.62302341915957,9.99999910629245,9.99999999769866,10.0000008891049,3.00826248993944,3.12734946919916,3.24643644845889,5025,10
"Denmark","DK_1009",2006,212,3.48,3.61,0.69,0.02,15,56.818,8.7313,"erik",12,1,22,"Cfb","cool","Temperate",161.112,14.9323860057348,14.6668887382793,15.1978832731903,16.9999626772115,16.9999961053027,17.0000295333939,5.72452255135195,5.90200920376647,6.07949585618098,6713,17
"Denmark","DK_1018",2005,212,5.38,0.97,1.61,0.05,15,57.1087,9.0421,"erik",8,1,22,"Cfb","cool","Temperate",105.984,7.70781091717986,7.617372439936,7.79824939442372,7.99999999998322,7.99999999999895,8.00000000001468,5.12445051845764,5.2354445750303,5.34643863160295,4416,8
"Denmark","DK_1029",2004,212,5.73,1.42,1.97,0.1,15,57.0556,8.9686,"erik",8,1,22,"Cfb","cool","Temperate",226.104,8.27443315924381,8.1132123609065,8.43565395758113,8.99996473376223,8.99999780556056,9.00003087735889,4.24435887233887,4.31500241620428,4.38564596006969,9421,9
"Denmark","DK_11001",2005,212,0.47,0.82,1.17,0.04,15,56.9328,8.4105,"erik",8,1,22,"Cfb","cool","Temperate",149.832,11.5747861845825,11.4708322020792,11.6787401670858,11.9999994594896,11.9999999998936,12.0000005402977,3.49694362876184,3.61412374836582,3.73130386796979,6243,12
"Denmark","DK_12002",2004,212,0.11,0.37,3.77,0.1,15,56.8213,8.7588,"erik",8,1,22,"Cfb","cool","Temperate",55.128,4.71267860751836,4.61371941477591,4.81163780026081,5.00000000000016,5.00000000000032,5.00000000000049,2.66457858526281,2.76003364199052,2.85548869871822,2297,5
"Denmark","DK_12003",2004,212,0.25,0.59,1.81,0.21,15,56.7665,8.8263,"erik",8,1,22,"Cfb","cool","Temperate",320.736,11.0488856582743,10.8859218952202,11.2118494213284,11.9989817365565,11.9997256318285,12.0004695271005,6.47266679848938,6.56966865883014,6.66667051917091,13364,12
"Denmark","DK_13002",2006,212,0.11,1.71,0.96,0.06,15,56.7902,9.7484,"erik",12,1,22,"Cfb","cool","Temperate",57.456,11.2817220920078,10.9597240663943,11.6037201176212,14.0000000000005,14.0000000000009,14.0000000000013,5.08472972958383,5.33683612835711,5.58894252713039,2394,14
"Denmark","DK_13002",2004,212,0.11,1.71,0.98,0.06,15,56.8415,9.4521,"erik",12,1,22,"Cfb","cool","Temperate",138.552,17.5825889712588,17.2051906721555,17.9599872703621,20.9999876794041,20.9999995911961,21.0000115029881,7.25134818108866,7.5496721506327,7.84799612017675,5773,21
"Denmark","DK_13002",2005,212,0.11,1.71,1.47,0.07,15,56.8415,9.4521,"erik",12,1,22,"Cfb","cool","Temperate",198.768,13.707982242538,13.4877883197492,13.9281761653268,15.9988170430912,15.9998988181747,16.0009805932582,4.74073933288558,4.88800894670272,5.03527856051987,8282,16
"Denmark","DK_14011",2006,212,0.06,1.91,1.83,0.07,15,56.4742,10.2419,"erik",8,1,22,"Cfb","cool","Temperate",93.312,8.41657753170551,8.27124654668264,8.56190851672838,8.99999999999897,9.00000000000169,9.00000000000441,4.61972219961732,4.77390742925996,4.9280926589026,3888,9
"Denmark","DK_14017",2006,212,0.14,0.6,4.69,0.07,15,56.8442,9.8249,"erik",8,1,22,"Cfb","cool","Temperate",299.592,10.216656790731,10.0757346176935,10.3575789637686,10.9994539399369,10.9999019245917,11.0003499092465,3.38483125999028,3.45555431471658,3.52627736944288,12483,11
"Denmark","DK_15046",2007,212,0.05,1.5,1.65,0.23,15,57.0622,10.1936,"erik",8,1,22,"Cfb","cool","Temperate",357.192,11.6841686850426,11.5968443309705,11.7714930391146,11.9992898036113,11.9998295360329,12.0003692684544,3.99319510838875,4.05729583101118,4.12139655363362,14883,12
"Denmark","DK_15048",2007,212,0.06,0.65,2.06,0.74,15,57.3258,10.386,"erik",8,1,22,"Cfb","cool","Temperate",182.928,7.4821625455978,7.34545425622317,7.61887083497242,7.99999901453885,7.99999997841192,8.00000094228499,3.80012445398727,3.87042135124721,3.94071824850716,7622,8
"Denmark","DK_15049",2004,212,0.8,0.58,3.78,3.34,15,56.8687,10.1904,"erik",8,1,22,"Cfb","cool","Temperate",244.488,12.396215751967,12.2773054495177,12.5151260544162,12.9999471870161,12.999995183125,13.000043179234,4.19949992354383,4.30916541055983,4.41883089757583,10187,13
"Denmark","DK_16002",2007,212,3.16,1.58,1.24,0.16,15,56.557,8.1356,"erik",8,1,22,"Cfb","cool","Temperate",1304.232,9.20130109470039,9.04306383874962,9.35953835065115,9.53635277755159,9.65755566206104,9.77875854657048,1.45167476191453,1.46176494347215,1.47185512502977,54343,10
"Denmark","DK_16023",2007,212,0.31,0.49,1.53,0.52,15,56.6024,8.2232,"erik",8,1,22,"Cfb","cool","Temperate",405.576,16.3512169749324,16.2044907413083,16.4979432085565,16.9963791195723,16.9988306258906,17.001282132209,4.11475475544464,4.20608409461824,4.29741343379183,16899,17
"Denmark","DK_16026",2007,212,0.12,0.47,1.93,0.32,15,56.5818,8.1694,"erik",8,1,22,"Cfb","cool","Temperate",227.496,9.79821895303663,9.61384342903951,9.98259447703376,10.9999608834962,10.9999959664547,11.0000310494131,2.96615508363233,3.01918652090542,3.07221795817852,9479,11
"Denmark","DK_16037",2004,212,0.09,0.98,0.65,0.03,15,56.5479,8.8534,"erik",12,1,22,"Cfb","cool","Temperate",265.608,22.3317781001459,21.9009445827666,22.7626116175252,26.9866740660673,26.9954406548905,27.0042072437138,6.54769804148737,6.72453299504582,6.90136794860428,11067,27
"Denmark","DK_16037",2005,212,0.09,0.98,0.34,0.01,15,56.5479,8.8534,"erik",12,1,22,"Cfb","cool","Temperate",201.672,19.8105982950176,19.5669323365793,20.054264253456,21.9988003150469,21.9999031549667,22.0010059948865,9.4770532823192,9.703368179533,9.92968307674679,8403,22
"Denmark","DK_16037",2006,212,0.09,0.98,0.5,0.02,15,56.5479,8.8534,"erik",12,1,22,"Cfb","cool","Temperate",388.152,21.8171648718724,21.5203515889289,22.1139781548158,24.9222978776855,24.9595060960461,24.9967143144067,7.48553948167448,7.62776503737975,7.76999059308501,16173,25
"Denmark","DK_16043",2004,212,0.21,0.59,1.53,0.27,15,56.6725,8.8106,"erik",8,1,22,"Cfb","cool","Temperate",14.136,2.73805998938103,2.65362561154294,2.82249436721912,3,3,3,1.72199912982409,1.85561622128295,1.9892333127418,589,3
"Denmark","DK_16134",2004,212,0.82,0.98,2.55,0.2,15,56.7219,9.0821,"erik",8,1,22,"Cfb","cool","Temperate",81.96,5.93326972299365,5.89992612199747,5.96661332398983,5.99999999999838,5.99999999999888,5.99999999999938,3.48587163695131,3.60033123599563,3.71479083503996,3415,6
"Denmark","DK_20014",2006,212,4.18,3.6,1.88,0.35,15,56.5154,8.9134,"erik",8,1,22,"Cfb","cool","Temperate",45.24,4.71283332340029,4.6012982523848,4.82436839441579,5,5,5,2.96724612151816,3.0681453780679,3.16904463461763,1885,5
"Denmark","DK_20014",2006,212,4.18,3.6,1.75,0.33,15,56.5154,8.9134,"erik",8,1,22,"Cfb","cool","Temperate",45.24,4.71283332340029,4.6012982523848,4.82436839441579,5,5,5,2.96724612151816,3.0681453780679,3.16904463461763,1885,5
"Denmark","DK_20026",2006,212,1.56,2.51,1.28,0.11,15,56.4358,8.9154,"erik",8,1,22,"Cfb","cool","Temperate",57.96,5.47831058149852,5.34912439069655,5.60749677230049,5.99999999999933,5.99999999999958,5.99999999999983,2.8585862399131,2.98565369026773,3.11272114062235,2415,6
"Denmark","DK_20091",2006,212,0.06,0.86,0.76,0.06,15,55.6764,12.4761,"erik",8,1,22,"Cfb","cool","Temperate",55.152,9.03823393834956,8.89035250237894,9.18611537432018,9.99999999999932,9.99999999999955,9.99999999999979,5.65386875342016,5.87463397766533,6.0953992019105,2298,10
"Denmark","DK_21014",2004,212,0.22,0.8,1.69,0.1,15,55.9773,9.4899,"erik",8,1,22,"Cfb","cool","Temperate",607.272,24.6953224018273,24.5145922402624,24.8760525633921,25.9384551975751,25.9643483369983,25.9902414764214,8.68742105161625,8.79618240107887,8.90494375054149,25303,26
"Denmark","DK_21016",2004,212,0.1,2.34,2.15,0.23,15,56.1588,9.5439,"erik",8,1,22,"Cfb","cool","Temperate",1041.408,5.7050303081966,5.62197176562443,5.78808885076876,5.87378053761245,5.93454224864796,5.99530395968346,1.24004567928204,1.24780979246742,1.2555739056528,43392,6
"Denmark","DK_21264",2005,212,0.08,2.33,1.28,0.12,15,55.8257,12.2185,"erik",8,1,22,"Cfb","cool","Temperate",500.232,15.319427129105,15.0527019404221,15.5861523177878,16.9685435900527,16.9819487912157,16.9953539923788,6.23920669832668,6.33302871337753,6.42685072842839,20843,17
"Denmark","DK_21269",2005,212,0.1,4.5,0.52,0.03,15,56.0106,9.6798,"erik",8,1,22,"Cfb","cool","Temperate",45.72,2.72200437190537,2.6368224721439,2.80718627166684,3,3,3,1.17803535774149,1.21095811971828,1.24388088169507,1905,3
"Denmark","DK_21272",2004,212,2.99,4.5,0.74,0.05,15,56.0672,9.6271,"erik",8,1,22,"Cfb","cool","Temperate",130.032,10.1941568220499,10.0611549333101,10.3271587107897,10.9999999933384,10.999999999994,11.0000000066495,3.11213350495761,3.22546355494486,3.33879360493211,5418,11
"Denmark","DK_21276",2004,212,0.2,4.73,1.38,0.1,15,56.017,9.4315,"erik",8,1,22,"Cfb","cool","Temperate",181.44,4.76573007817435,4.67390383136362,4.85755632498508,4.99999907362988,4.99999999095597,5.00000090828206,1.69649363994773,1.73843799736031,1.78038235477289,7560,5
